CATEGORY_DESCRIPTION,kroger_private_label_penetration,benchmark_private_label_penetration,penetration_gap
"Hot Dogs, Sausages, & Bratwurst-Prepared",0,0.9941659572337123,0.9941659572337123
Cold Fountain Beverages,0,0.983440880622509,0.983440880622509
Pizza-Prepared,0,0.7023027140922089,0.7023027140922089
