CATEGORY_DESCRIPTION,kroger_private_label_penetration,benchmark_private_label_penetration,penetration_gap
"Hot Dogs, Sausages, & Bratwurst-Prepared",0,0.9941659572337123,0.9941659572337123
Frozen Strawberries,0,0.893644617380026,0.893644617380026
Mozzarella Cheese (Deli),0,0.8035714285714286,0.8035714285714286
