ETHNICITY,kroger_percentage,benchmark_percentage
Hispanic/Latino,0.270250364,0.237493916
Other,0.302033653,0.227658597
Black or African American,0.298251673,0.18010151
White/Caucasian,0.315320518,0.193286367
Asian,0.261947813,0.271296585
