CATEGORY_DESCRIPTION,kroger_private_label_sales,kroger_total_sales,kroger_private_label_penetration,benchmark_private_label_sales,benchmark_total_sales,benchmark_private_label_penetration
Packaged Soup-Prepared,57.29999923706055,57.29999923706055,1,0,2.0899999141693115,0
Frozen Cherries,2409.0600019693375,2409.0600019693375,1,1682.4599890708923,1682.4599890708923,1
In-Store Bakery White Bread,17.430000066757202,17.430000066757202,1,NULL,NULL,NULL
Frozen Quiche,26.9399995803833,26.9399995803833,1,NULL,NULL,NULL
Fresh Sugar Apple,2118.200001001358,2118.200001001358,1,NULL,NULL,NULL
