AGE_BUCKET,kroger_percentage,benchmark_percentage
18-20,0.254273504,0.278185276
21-24,0.306845423,0.22879489
25-34,0.315138486,0.217172729
35-44,0.306024632,0.208928983
45-54,0.304894421,0.200254599
55-64,0.311815949,0.193570476
65+,0.320034899,0.194329467
